2011	14	Arizona Cardinals	$72,857,750	$54,029,859	$130,397,609
2011	19	Atlanta Falcons	$70,609,951	$49,470,572	$124,149,473
2011	10	Baltimore Ravens	$57,146,609	$70,507,895	$133,544,504
2011	27	Buffalo Bills	$38,743,789	$70,142,585	$113,088,041
2011	2	Carolina Panthers	$76,448,447	$63,998,930	$146,959,877
2011	22	Chicago Bears	$49,231,833	$63,562,204	$118,429,037
2011	29	Cincinnati Bengals	$49,380,920	$60,860,708	$111,962,878
2011	30	Cleveland Browns	$51,408,259	$48,610,741	$104,629,833
2011	20	Dallas Cowboys	$56,741,243	$59,832,630	$120,944,456
2011	31	Denver Broncos	$34,037,488	$60,800,582	$98,679,070
2011	3	Detroit Lions	$76,522,487	$62,907,293	$142,837,780
2011	8	Green Bay Packers	$67,572,838	$65,711,020	$137,295,191
2011	12	Houston Texans	$63,449,009	$62,980,626	$132,307,135
2011	26	Indianapolis Colts	$60,981,152	$50,852,750	$115,352,569
2011	21	Jacksonville Jaguars	$56,052,339	$59,696,571	$118,748,910
2011	15	Kansas City Chiefs	$52,134,914	$72,697,898	$130,010,312
2011	17	Miami Dolphins	$53,543,145	$69,739,616	$127,070,261
2011	4	Minnesota Vikings	$71,068,032	$65,651,482	$142,107,371
2011	13	New England Patriots	$67,425,443	$60,620,820	$132,158,209
2011	28	New Orleans Saints	$55,843,598	$53,494,843	$112,782,191
2011	11	New York Giants	$65,387,174	$64,728,284	$133,465,458
2011	9	New York Jets	$67,377,790	$67,992,929	$136,774,666
2011	7	Oakland Raiders	$54,692,734	$76,328,377	$140,204,444
2011	6	Philadelphia Eagles	$68,839,549	$70,415,821	$141,228,899
2011	1	Pittsburgh Steelers	$67,603,426	$85,869,552	$158,374,978
2011	5	San Diego Chargers	$82,891,740	$53,259,339	$142,028,936
2011	16	San Francisco 49ers	$64,532,592	$59,991,220	$129,767,978
2011	25	Seattle Seahawks	$63,941,788	$51,430,996	$117,297,118
2011	23	St. Louis Rams	$67,458,053	$45,488,897	$117,369,783
2011	32	Tampa Bay Buccaneers	$46,879,620	$41,889,126	$95,101,246
2011	24	Tennessee Titans	$67,884,680	$45,137,297	$117,320,102
2011	18	Washington Redskins	$53,098,352	$69,984,829	$125,699,431
2012	1	Philadelphia Eagles	$90,903,767	$69,442,204	$162,681,000
2012	2	San Francisco 49ers	$71,277,216	$78,843,127	$157,581,176
2012	3	Detroit Lions	$78,511,793	$73,532,242	$155,834,035
2012	4	Kansas City Chiefs	$66,857,565	$81,290,454	$153,325,519
2012	5	New Orleans Saints	$78,720,859	$66,042,568	$151,510,927
2012	6	New York Jets	$71,976,251	$74,688,175	$148,781,093
2012	7	Pittsburgh Steelers	$62,313,603	$81,007,808	$147,255,578
2012	8	Dallas Cowboys	$64,840,964	$78,813,312	$146,360,109
2012	9	Carolina Panthers	$69,933,924	$73,624,236	$146,165,747
2012	10	Arizona Cardinals	$74,099,979	$67,515,646	$145,457,292
2012	11	San Diego Chargers	$79,253,815	$54,729,836	$140,716,508
2012	12	Baltimore Ravens	$55,954,432	$80,947,449	$140,421,881
2012	13	Buffalo Bills	$60,164,239	$74,660,447	$139,663,827
2012	14	Atlanta Falcons	$66,776,536	$67,060,804	$137,527,123
2012	15	Chicago Bears	$69,028,979	$62,010,986	$137,480,798
2012	16	Jacksonville Jaguars	$69,456,780	$60,957,669	$135,583,741
2012	17	New York Giants	$59,458,592	$70,954,980	$135,463,572
2012	18	New England Patriots	$79,390,619	$51,719,399	$135,221,964
2012	19	Tennessee Titans	$76,248,230	$53,851,273	$134,884,295
2012	20	Washington Redskins	$68,355,009	$62,768,873	$133,758,882
2012	21	Green Bay Packers	$65,927,752	$61,668,150	$132,817,152
2012	22	Tampa Bay Buccaneers	$71,901,079	$50,511,569	$130,152,648
2012	23	Houston Texans	$74,910,558	$52,000,925	$130,067,260
2012	24	Denver Broncos	$58,026,360	$63,415,788	$126,148,481
2012	25	Cleveland Browns	$51,253,547	$66,788,650	$123,603,030
2012	26	Seattle Seahawks	$70,433,653	$48,272,572	$122,590,559
2012	27	Cincinnati Bengals	$52,648,148	$63,927,683	$121,801,081
2012	28	Oakland Raiders	$47,660,716	$62,303,124	$119,602,506
2012	29	Minnesota Vikings	$55,864,526	$57,149,790	$115,956,656
2012	30	Miami Dolphins	$54,651,518	$52,645,961	$113,380,008
2012	31	St. Louis Rams	$55,126,712	$54,257,812	$110,902,558
2012	32	Indianapolis Colts	$36,678,902	$53,387,598	$94,065,167
2013	1	San Francisco 49ers	$67,682,400	$75,266,668	$149,195,735
2013	2	Kansas City Chiefs	$66,241,733	$72,305,068	$145,771,801
2013	3	New Orleans Saints	$69,540,348	$67,496,626	$142,470,724
2013	4	Green Bay Packers	$71,125,469	$65,854,711	$142,201,430
2013	5	Philadelphia Eagles	$80,338,069	$56,946,665	$139,874,763
2013	6	Detroit Lions	$74,927,026	$61,583,897	$139,000,998
2013	7	Miami Dolphins	$53,537,372	$76,857,052	$135,053,093
2013	8	Cincinnati Bengals	$49,243,809	$79,503,353	$134,667,162
2013	9	Baltimore Ravens	$61,186,435	$69,169,057	$134,140,492
2013	10	New York Giants	$70,022,700	$59,217,393	$133,940,093
2013	11	Pittsburgh Steelers	$64,125,689	$65,528,579	$133,515,935
2013	12	Dallas Cowboys	$64,044,725	$66,941,011	$133,016,569
2013	13	Houston Texans	$75,275,512	$54,588,966	$132,973,588
2013	14	Tampa Bay Buccaneers	$67,385,240	$60,154,335	$132,699,575
2013	15	Denver Broncos	$72,195,134	$52,294,577	$132,548,377
2013	16	Chicago Bears	$68,834,822	$58,149,489	$132,500,144
2013	17	Minnesota Vikings	$73,094,456	$55,655,197	$131,030,184
2013	18	Seattle Seahawks	$67,595,122	$57,753,404	$128,472,693
2013	19	Tennessee Titans	$76,161,273	$46,564,967	$127,848,532
2013	20	Atlanta Falcons	$74,667,755	$47,474,679	$125,832,217
2013	21	Arizona Cardinals	$59,196,332	$60,548,813	$123,586,812
